Session: Session 1,,,
time,LM_2_O2,LM_2_RPM,LM_2_A1
(sec),(AFR),(RPM),(Volt)
45.95712,9.39,850,0.63
46.03904,9.40,830,0.64
46.12096,9.36,830,0.64
46.20288,9.26,830,0.65
46.28480,9.11,820,0.65
46.36672,9.09,800,0.65
46.44864,9.04,790,0.65
46.53056,8.98,780,0.65
46.61248,8.95,770,0.65
46.69440,8.92,760,0.65
46.77632,8.89,760,0.65
46.85824,8.87,760,0.65
46.94016,8.84,760,0.65
47.02208,8.84,750,0.65
47.10400,8.87,750,0.65
47.18592,8.89,740,0.65
47.26784,8.89,740,0.65
47.34976,8.90,740,0.65
47.43168,8.91,740,0.65
47.51360,8.91,740,0.65
47.59552,8.92,740,0.66
47.67744,8.93,730,0.66
47.75936,8.94,730,0.66
47.84128,8.94,730,0.66
47.92320,8.96,730,0.66
48.00512,8.97,730,0.66
48.08704,8.97,730,0.66
48.16896,8.98,730,0.66
48.25088,8.98,730,0.66
48.33280,8.97,730,0.66
48.41472,8.96,730,0.66
48.49664,8.97,730,0.66
48.57856,8.97,730,0.66
48.66048,8.99,720,0.67
48.74240,9.01,720,0.67
48.82432,9.04,720,0.67
48.90624,9.05,720,0.67
48.98816,9.07,710,0.67
49.07008,9.09,710,0.67
49.15200,9.11,710,0.67
49.23392,9.11,710,0.67
49.31584,9.09,710,0.67
49.39776,9.07,710,0.68
49.47968,9.05,710,0.68
49.56160,9.05,710,0.69
49.64352,9.06,700,0.69
49.72544,9.07,700,0.69
49.80736,9.08,700,0.68
49.88928,9.08,700,0.69
49.97120,9.09,700,0.69
50.05312,9.09,700,0.69
50.13504,9.10,700,0.69
50.21696,9.10,700,0.70
50.29888,9.10,700,0.70
50.38080,9.10,700,0.70
50.46272,9.10,690,0.70
50.54464,9.10,690,0.71
50.62656,9.10,680,0.71
50.70848,9.12,680,0.71
50.79040,9.13,680,0.71
50.87232,9.14,680,0.72
50.95424,9.13,670,0.73
51.03616,9.14,670,0.73
51.11808,9.14,660,0.73
51.20000,9.14,660,0.74
51.28192,9.14,660,0.74
51.36384,9.13,660,0.74
51.44576,9.12,660,0.74
51.52768,9.13,660,0.75
51.60960,9.14,660,0.75
51.69152,9.13,660,0.79
51.77344,9.12,660,0.83
51.85536,9.11,660,0.85
51.93728,9.12,660,0.87
52.01920,9.11,670,0.88
52.10112,9.09,670,0.89
52.18304,9.06,690,1.03
52.26496,9.06,700,1.16
52.34688,9.08,740,1.19
52.42880,9.04,780,1.22
52.51072,8.98,830,1.17
52.59264,8.96,880,1.13
52.67456,8.92,920,1.09
52.75648,8.86,960,1.06
52.83840,8.82,990,1.05
52.92032,8.87,1020,1.05
53.00224,8.97,1040,1.05
53.08416,9.09,1060,1.05
53.16608,9.18,1070,1.06
53.24800,9.22,1080,1.07
53.32992,9.22,1090,1.08
53.41184,9.23,1100,1.08
53.49376,9.23,1110,1.08
53.57568,9.21,1120,1.08
53.65760,9.19,1130,1.08
53.73952,9.17,1130,1.08
53.82144,9.17,1140,1.08
